0.000000,0.050000
0.050000,0.050000
0.100000,0.050000
0.150000,0.050000
0.200000,0.050000
0.250000,0.050000
0.300000,0.049000
0.349000,0.050000
0.399000,0.051000
0.450000,0.050000
0.500000,0.050000
0.550000,0.050000
0.600000,0.050000
0.650000,0.048000
0.698000,0.052000
0.750000,0.050000
0.800000,0.049000
0.849000,0.050000
0.899000,0.051000
0.950000,0.050000
1.000000,0.048000
1.048000,0.052000
1.100000,0.050000
1.150000,0.050000
1.200000,0.050000
1.250000,0.050000
1.300000,0.050000
1.350000,0.047000
1.397000,0.053000
1.450000,0.050000
1.500000,0.050000
1.550000,0.050000
1.600000,0.049000
1.649000,0.049000
1.698000,0.051000
1.749000,0.051000
1.800000,0.049000
1.849000,0.050000
1.899000,0.051000
1.950000,0.050000
2.000000,0.050000
2.050000,0.049000
2.099000,0.051000
2.150000,0.050000
2.200000,0.050000
2.250000,0.050000
2.300000,0.049000
2.349000,0.050000
2.399000,0.049000
2.448000,0.051000
2.499000,0.049000
2.548000,0.051000
2.599000,0.051000
2.650000,0.048000
2.698000,0.051000
2.749000,0.049000
2.798000,0.051000
2.849000,0.050000
2.899000,0.051000
2.950000,0.050000
3.000000,0.048000
3.048000,0.051000
3.099000,0.050000
3.149000,0.049000
3.198000,0.052000
3.250000,0.050000
3.300000,0.049000
3.349000,0.050000
3.399000,0.049000
3.448000,0.051000
3.499000,0.051000
3.550000,0.050000
3.600000,0.050000
3.650000,0.050000
3.700000,0.049000
3.749000,0.051000
3.800000,0.049000
3.849000,0.048000
3.897000,0.051000
3.948000,0.051000
3.999000,0.051000
4.050000,0.049000
4.099000,0.050000
4.149000,0.049000
4.198000,0.051000
4.249000,0.049000
4.298000,0.051000
4.349000,0.050000
4.399000,0.049000
4.448000,0.051000
4.499000,0.049000
4.548000,0.052000
4.600000,0.050000
4.650000,0.050000
4.700000,0.050000
4.750000,0.048000
4.798000,0.052000
4.850000,0.047000
4.897000,0.051000
4.948000,0.051000
4.999000,0.051000
5.050000,0.049000
5.099000,0.050000
5.149000,0.049000
5.198000,0.051000
5.249000,0.049000
5.298000,0.052000
5.350000,0.049000
5.399000,0.051000
5.450000,0.049000
5.499000,0.049000
5.548000,0.051000
5.599000,0.050000
5.649000,0.049000
5.698000,0.051000
5.749000,0.051000
5.800000,0.049000
5.849000,0.050000
5.899000,0.049000
5.948000,0.051000
5.999000,0.049000
6.048000,0.051000
6.099000,0.050000
6.149000,0.049000
6.198000,0.051000
6.249000,0.049000
6.298000,0.051000
6.349000,0.050000
6.399000,0.051000
6.450000,0.049000
6.499000,0.049000
6.548000,0.051000
6.599000,0.050000
6.649000,0.049000
6.698000,0.051000
6.749000,0.049000
6.798000,0.051000
6.849000,0.050000
6.899000,0.049000
6.948000,0.051000
6.999000,0.049000
7.048000,0.051000
7.099000,0.050000
7.149000,0.050000
7.199000,0.049000
7.248000,0.050000
7.298000,0.051000
7.349000,0.050000
7.399000,0.050000
7.449000,0.049000
7.498000,0.052000
7.550000,0.049000
7.599000,0.051000
7.650000,0.049000
7.699000,0.049000
7.748000,0.050000
7.798000,0.051000
7.849000,0.050000
7.899000,0.050000
7.949000,0.049000
7.998000,0.050000
8.048000,0.051000
8.099000,0.050000
8.149000,0.050000
8.199000,0.049000
8.248000,0.050000
8.298000,0.051000
8.349000,0.048000
8.397000,0.052000
8.449000,0.051000
8.500000,0.048000
8.548000,0.052000
8.600000,0.049000
8.649000,0.050000
8.699000,0.049000
8.748000,0.050000
8.798000,0.051000
8.849000,0.050000
8.899000,0.051000
8.950000,0.048000
8.998000,0.050000
9.048000,0.051000
9.099000,0.050000
9.149000,0.050000
9.199000,0.049000
9.248000,0.052000
9.300000,0.049000
9.349000,0.050000
9.399000,0.050000
9.449000,0.049000
9.498000,0.050000
9.548000,0.051000
9.599000,0.050000
9.649000,0.050000
9.699000,0.016000
9.715000,0.017000
9.732000,0.016000
9.748000,0.017000
9.765000,0.017000
9.782000,0.016000
9.798000,0.017000
9.815000,0.017000
9.832000,0.017000
9.849000,0.016000
9.865000,0.015000
9.880000,0.019000
9.899000,0.015000
9.914000,0.016000
9.930000,0.019000
9.949000,0.014000
9.963000,0.035000
9.998000,0.034000
10.032000,0.016000
10.048000,0.017000
10.065000,0.032000
10.097000,0.018000
10.115000,0.034000
10.149000,0.033000
10.182000,0.017000
10.199000,0.049000
10.248000,0.050000
10.298000,0.017000
10.315000,0.034000
10.349000,0.050000
10.399000,0.050000
10.449000,0.049000
10.498000,0.050000
10.548000,0.051000
10.599000,0.050000
10.649000,0.050000
10.699000,0.049000
10.748000,0.050000
10.798000,0.051000
10.849000,0.048000
10.897000,0.052000
10.949000,0.049000
10.998000,0.050000
11.048000,0.051000
11.099000,0.050000
11.149000,0.050000
11.199000,0.049000
11.248000,0.050000
11.298000,0.051000
11.349000,0.050000
11.399000,0.050000
11.449000,0.049000
11.498000,0.050000
11.548000,0.051000
11.599000,0.050000
11.649000,0.050000
11.699000,0.049000
11.748000,0.050000
11.798000,0.051000
11.849000,0.048000
11.897000,0.052000
11.949000,0.049000
11.998000,0.050000
12.048000,0.051000
12.099000,0.050000
12.149000,0.050000
12.199000,0.049000
12.248000,0.050000
12.298000,0.051000
12.349000,0.048000
12.397000,0.052000
12.449000,0.049000
12.498000,0.050000
12.548000,0.051000
12.599000,0.050000
12.649000,0.050000
12.699000,0.049000
12.748000,0.050000
12.798000,0.051000
12.849000,0.048000
12.897000,0.050000
12.947000,0.051000
12.998000,0.050000
13.048000,0.051000
13.099000,0.050000
13.149000,0.050000
13.199000,0.049000
13.248000,0.050000
13.298000,0.051000
13.349000,0.050000
13.399000,0.050000
13.449000,0.049000
13.498000,0.050000
13.548000,0.051000
13.599000,0.050000
13.649000,0.050000
13.699000,0.049000
13.748000,0.050000
13.798000,0.051000
13.849000,0.048000
13.897000,0.050000
13.947000,0.051000
13.998000,0.050000
14.048000,0.051000
14.099000,0.050000
14.149000,0.050000
14.199000,0.049000
14.248000,0.050000
14.298000,0.051000
14.349000,0.050000
14.399000,0.050000
14.449000,0.049000
14.498000,0.050000
14.548000,0.051000
14.599000,0.050000
14.649000,0.050000
14.699000,0.049000
14.748000,0.050000
14.798000,0.051000
14.849000,0.048000
14.897000,0.052000
14.949000,0.049000
14.998000,0.050000
15.048000,0.051000
15.099000,0.050000
15.149000,0.050000
15.199000,0.049000
15.248000,0.050000
15.298000,0.051000
15.349000,0.048000
15.397000,0.052000
15.449000,0.049000
15.498000,0.050000
15.548000,0.051000
15.599000,0.050000
15.649000,0.050000
15.699000,0.049000
15.748000,0.050000
15.798000,0.051000
15.849000,0.048000
15.897000,0.052000
15.949000,0.049000
15.998000,0.050000
16.048000,0.051000
16.099000,0.050000
16.149000,0.050000
16.199000,0.049000
16.248000,0.050000
16.298000,0.051000
16.349000,0.048000
16.397000,0.050000
16.447000,0.051000
16.498000,0.050000
16.548000,0.051000
16.599000,0.050000
16.649000,0.050000
16.699000,0.049000
16.748000,0.050000
16.798000,0.051000
16.849000,0.048000
16.897000,0.052000
16.949000,0.049000
16.998000,0.050000
17.048000,0.051000
17.099000,0.050000
17.149000,0.050000
17.199000,0.049000
17.248000,0.050000
17.298000,0.051000
17.349000,0.048000
17.397000,0.052000
17.449000,0.049000
17.498000,0.050000
17.548000,0.051000
17.599000,0.050000
17.649000,0.050000
17.699000,0.049000
17.748000,0.049000
17.797000,0.052000
17.849000,0.013000
17.862000,0.017000
17.879000,0.016000
17.895000,0.017000
17.912000,0.016000
17.928000,0.019000
17.947000,0.018000
17.965000,0.015000
17.980000,0.017000
17.997000,0.018000
